sample_id,group
GSM1045191_N1_15_12_04.CEL,Normal
GSM1045192_N4_14_12_04.CEL,Normal
GSM1045193_N5_15_12_04.CEL,Normal
GSM1045194_N6_14_12_04.CEL,Normal
GSM1045195_P1_15_12_04.CEL,Normal
GSM1045196_P10_26_1_05.CEL,Normal
GSM1045197_P11_25_1_05.CEL,Normal
GSM1045198_P12_25_1_05.CEL,Normal
GSM1045199_P13_25_1_05.CEL,Normal
GSM1045200_P14_25_1_05.CEL,Normal
GSM1045201_P18_25_1_05.CEL,Normal
GSM1045202_P21_25_1_05.CEL,Normal
GSM1045203_P3_22_12_04.CEL,Normal
GSM1045204_P4_14_12_04.CEL,Normal
GSM1045205_P5_21_12_04.CEL,Normal
GSM1045206_P8_25_1_05.CEL,Normal
GSM1045207_P9_25_1_05.CEL,Normal
GSM1045208_S1_21_12_04.CEL,Tumor
GSM1045209_S10_22_12_04.CEL,Tumor
GSM1045210_S11_14_12_04.CEL,Tumor
GSM1045211_S14_21_12_04.CEL,Tumor
GSM1045212_S15_15_12_04.CEL,Tumor
GSM1045213_S16_20_12_04.CEL,Tumor
GSM1045214_S18_22_12_04.CEL,Tumor
GSM1045215_S2_15_12_04.CEL,Tumor
GSM1045216_S20_14_12_04.CEL,Tumor
GSM1045217_S22_9_12_04.CEL,Tumor
GSM1045218_S25_10_12_04.CEL,Tumor
GSM1045219_S26_10_12_04.CEL,Tumor
GSM1045220_S28_7_12_04.CEL,Tumor
GSM1045221_S29_10_12_04.CEL,Tumor
GSM1045222_S3_20_12_04.CEL,Tumor
GSM1045223_S30_14_12_04.CEL,Tumor
GSM1045224_S31_3_12_04.CEL,Tumor
GSM1045226_S33_3_12_04.CEL,Tumor
GSM1045227_S35_8_12_04.CEL,Tumor
GSM1045228_S36_20_12_04.CEL,Tumor
GSM1045229_S37_8_12_04.CEL,Tumor
GSM1045230_S38_10_12_04.CEL,Tumor
GSM1045231_S5_15_12_04.CEL,Tumor
GSM1045233_S7_14_12_04.CEL,Tumor
GSM1045234_T1_14_12_04.CEL,Tumor
GSM1045235_T10_8_12_04.CEL,Tumor
GSM1045236_T101A_9_12_04.CEL,Tumor
