probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr,abs_diff
gene_1300,7.259872554582046,4.498523054682638,2.761349499899408,18.19434312721361,2.866306268481064e-35,2.263522060219496e-31,1300,COL10A1,30.645215268526844,2.761349499899408
gene_6286,8.127834907195087,4.898156840030403,3.2296780671646843,13.119312112851922,1.099523406121247e-23,4.3414681690697433e-20,6286,S100P,19.36236337880531,3.2296780671646843
gene_823,7.017645757602358,6.083010758545692,0.9346349990566658,17.05254420725941,2.063957223783547e-23,5.433023398739557e-20,823,CAPN1,19.264958424559214,0.9346349990566658
gene_10388,4.576557195115422,2.8859987828184503,1.6905584122969715,12.400827394352627,1.2733691470941685e-22,2.513949038650662e-19,10388,SYCP2,18.599643530332294,1.6905584122969715
gene_2261,4.980829180900305,3.7986635156023416,1.1821656652979637,12.183480491130938,5.665194043179164e-22,8.94760747179717e-19,2261,FGFR3,18.048293076494463,1.1821656652979637
gene_8106,7.1620161355902106,6.505085832883559,0.6569303027066518,12.92091842508218,7.487260521802574e-20,9.85448272344582e-17,8106,PABPN1,16.006366167553907,0.6569303027066518
gene_1301,5.755352360300723,3.500686978487902,2.254665381812821,12.379646860485861,6.664506205094328e-19,7.518515071661415e-16,1301,COL11A1,15.12386792534768,2.254665381812821
gene_3985,5.8389716298873955,4.893304125498025,0.9456675043893705,14.297569476418488,1.436626303532574e-18,1.418129739874592e-15,3985,LIMK2,14.848284035207875,0.9456675043893705
gene_3226,6.493852722334572,4.628705499816887,1.8651472225176855,11.252570929340687,1.7807142888843157e-18,1.5624778599243822e-15,3226,HOXC10,14.806186127827594,1.8651472225176855
gene_56474,6.699428581136439,5.782488277528476,0.9169403036079631,10.868608702688816,1.9957109815812462e-18,1.57601296215471e-15,56474,CTPS2,14.802440214911746,0.9169403036079631
gene_51547,7.210547608836925,6.1773420961738434,1.0332055126630815,12.91515294742545,3.105643509083684e-18,2.2295697082939862e-15,51547,SIRT7,14.65177894472987,1.0332055126630815
gene_1475,8.196163989125747,10.349119744179303,-2.152955755053556,-10.584269909809608,4.539181270609487e-18,2.9871595411669267e-15,1475,CSTA,14.52474158154783,2.152955755053556
gene_5424,6.252008282428187,5.174711152269683,1.0772971301585033,13.144896560510485,5.067000948910388e-18,3.0780081918111797e-15,5424,POLD1,14.511730228671643,1.0772971301585033
gene_9915,6.382481042085726,4.519074706954825,1.8634063351309011,10.923002431260219,6.050831851091261e-18,3.1855612752045128e-15,9915,ARNT2,14.496814036719986,1.8634063351309011
gene_25837,6.380045980940138,4.576512050134713,1.8035339308054246,12.12379406420893,5.70617318816977e-18,3.1855612752045128e-15,25837,RAB26,14.496814036719986,1.8035339308054246
gene_8535,5.928776662598628,4.7027227308204065,1.226053931778221,15.333751891456064,6.953071573807028e-18,3.4317753886471307e-15,8535,CBX4,14.46448114467628,1.226053931778221
gene_26229,6.0927208351494455,5.1162352084764695,0.976485626672976,12.688198373246356,1.2235020550130896e-17,5.683526899081394e-15,26229,B3GAT3,14.245382080229021,0.976485626672976
gene_57645,5.4422967612007485,4.618728545354209,0.8235682158465396,11.974055223361788,1.4144166500154275e-17,6.2053601584287945e-15,57645,POGK,14.207233007029233,0.8235682158465396
gene_23623,7.262399544508351,6.0468457995889215,1.2155537449194291,11.256656058544383,1.6226407655210032e-17,6.499545801286785e-15,23623,RUSC1,14.1871169914936,1.2155537449194291
gene_64838,6.642694321313861,7.543642141867838,-0.9009478205539763,-13.536626680733905,1.6460797268043017e-17,6.499545801286785e-15,64838,FNDC4,14.1871169914936,0.9009478205539763
gene_1108,8.067522481531972,7.248880902327354,0.818641579204618,15.52448483952827,1.737289800047176e-17,6.533036929034547e-15,1108,CHD4,14.184884886884335,0.818641579204618
gene_9898,6.6979060881994,5.918960773015549,0.7789453151838517,12.166367148794263,1.9583050026068958e-17,7.029424820721207e-15,9898,UBAP2L,14.15308020946188,0.7789453151838517
gene_27338,5.775128763621063,4.571928780142188,1.203199983478875,10.092872850532162,2.4401333702336405e-17,8.37814488031959e-15,27338,UBE2S,14.076852133807778,1.203199983478875
gene_7756,6.277619430196861,5.424164143398681,0.8534552867981802,12.241297503670067,2.631999984894241e-17,8.660376616962426e-15,7756,ZNF207,14.062463221249159,0.8534552867981802
gene_7138,6.852185461820308,4.852184193997654,2.000001267822654,9.949597859567378,4.1187457258512253e-17,1.3010293998818851e-14,7138,TNNT1,13.885712889401361,2.000001267822654
gene_29855,8.229127557917836,7.5438687916770295,0.685258766240807,13.08482944737151,4.4647030431398065e-17,1.3560676896798096e-14,29855,UBN1,13.867718631618873,0.685258766240807
gene_79712,4.569334094852167,5.131862980323391,-0.5625288854712247,-15.956317429844638,5.5465709792171495e-17,1.6222692971436234e-14,79712,QTMAN,13.789877051138605,0.5625288854712247
gene_8480,5.867594996678466,5.410390661378722,0.45720433529974436,11.05664772015334,7.459181910145478e-17,2.1037556980149586e-14,8480,RAE1,13.67700469472944,0.45720433529974436
gene_84823,6.635633280652249,5.188527566735998,1.447105713916251,11.65968452159836,1.4150406949735202e-16,3.853302195933065e-14,84823,LMNB2,13.414166930026784,1.447105713916251
gene_64215,8.730236536419609,7.596399933714358,1.1338366027052507,10.438694398877836,1.7135515097052255e-16,4.510638757380722e-14,64215,DNAJC1,13.345761952764459,1.1338366027052507
