sample_id,group,mean_expression,median_expression,sd_expression
GSM1045191_N1_15_12_04.CEL,Normal,5.672090572643317,5.38142097478731,1.8144971726281878
GSM1045192_N4_14_12_04.CEL,Normal,5.483900866138179,5.2597213502429,1.5291629028144025
GSM1045193_N5_15_12_04.CEL,Normal,5.355723079381305,5.12988783514405,1.459859071212105
GSM1045194_N6_14_12_04.CEL,Normal,5.4462470208810565,5.21623293716875,1.4982381261377333
GSM1045195_P1_15_12_04.CEL,Normal,5.693311292839088,5.40633524487315,1.8379969312325735
GSM1045196_P10_26_1_05.CEL,Normal,5.734899872776634,5.42854617131032,1.907772094087331
GSM1045197_P11_25_1_05.CEL,Normal,5.727888447290337,5.40599032086334,1.8534904137321395
GSM1045198_P12_25_1_05.CEL,Normal,5.707236344876358,5.38840112040132,1.855533098067869
GSM1045199_P13_25_1_05.CEL,Normal,5.74429778316549,5.41288749030557,1.910074872768299
GSM1045200_P14_25_1_05.CEL,Normal,5.6880496399504485,5.38543485863666,1.7749282034749163
GSM1045201_P18_25_1_05.CEL,Normal,5.653622611709855,5.38845390023029,1.6965021216959166
GSM1045202_P21_25_1_05.CEL,Normal,5.790308522708309,5.48972965354896,1.9069501396453725
GSM1045203_P3_22_12_04.CEL,Normal,5.550539257792224,5.28250124661876,1.6703389930680912
GSM1045204_P4_14_12_04.CEL,Normal,5.710866557713638,5.39234905887077,1.9055724940671308
GSM1045205_P5_21_12_04.CEL,Normal,5.708129771586411,5.38845724461033,1.8960514010540204
GSM1045206_P8_25_1_05.CEL,Normal,5.645226744451389,5.35932303547012,1.7445021628996984
GSM1045207_P9_25_1_05.CEL,Normal,5.701846554914445,5.39277021313653,1.853893779484794
GSM1045208_S1_21_12_04.CEL,Tumor,5.563552821106207,5.31520158608681,1.6973634655787664
GSM1045209_S10_22_12_04.CEL,Tumor,5.574893463810926,5.33427259037764,1.6831884836330864
GSM1045210_S11_14_12_04.CEL,Tumor,5.528377135870288,5.28729012492755,1.6505588039336003
GSM1045211_S14_21_12_04.CEL,Tumor,5.456124611030749,5.24193026170825,1.5050364364741997
GSM1045212_S15_15_12_04.CEL,Tumor,5.783236619035251,5.47989861706743,1.8642578729029116
GSM1045213_S16_20_12_04.CEL,Tumor,5.565914943720973,5.37235647406056,1.5948131906119871
GSM1045214_S18_22_12_04.CEL,Tumor,5.577542006755651,5.32843168608134,1.7340459731770612
GSM1045215_S2_15_12_04.CEL,Tumor,5.733241503625465,5.51004816730471,1.8166739463738402
GSM1045216_S20_14_12_04.CEL,Tumor,5.773052900217896,5.50768070496194,1.870764946544333
GSM1045217_S22_9_12_04.CEL,Tumor,5.291253348528064,5.12906725707444,1.3742807484066821
GSM1045218_S25_10_12_04.CEL,Tumor,5.711341526966956,5.4000963622427,1.8727843841806608
GSM1045219_S26_10_12_04.CEL,Tumor,5.673593422323403,5.40366141135323,1.7998743419772103
GSM1045220_S28_7_12_04.CEL,Tumor,5.643999433749772,5.3796615524855,1.8322034249128056
GSM1045221_S29_10_12_04.CEL,Tumor,5.486453822489687,5.27656069886851,1.5473562546295259
GSM1045222_S3_20_12_04.CEL,Tumor,5.56529564682626,5.32592837748445,1.6742331776803012
GSM1045223_S30_14_12_04.CEL,Tumor,5.736018250237539,5.49615300327505,1.838708458066275
GSM1045224_S31_3_12_04.CEL,Tumor,5.674503852679706,5.38980159378614,1.815104328118853
GSM1045226_S33_3_12_04.CEL,Tumor,5.58262611640921,5.36412150609648,1.7180807802857876
GSM1045227_S35_8_12_04.CEL,Tumor,5.654027279508365,5.37241276883227,1.812021966550001
GSM1045228_S36_20_12_04.CEL,Tumor,5.550526217976451,5.3184015973786,1.7134246034171532
GSM1045229_S37_8_12_04.CEL,Tumor,5.68176934850179,5.42991689170776,1.7584961255544416
GSM1045230_S38_10_12_04.CEL,Tumor,5.716129710113763,5.46982821039698,1.879450886078348
GSM1045231_S5_15_12_04.CEL,Tumor,5.7357133315479985,5.47903448100535,1.872609619349428
GSM1045233_S7_14_12_04.CEL,Tumor,5.600616919792276,5.37460736887437,1.6666641769670059
GSM1045234_T1_14_12_04.CEL,Tumor,5.712319332949288,5.43438637762635,1.8878754992284008
GSM1045235_T10_8_12_04.CEL,Tumor,5.701021204242562,5.46731625913091,1.8521454700650495
GSM1045236_T101A_9_12_04.CEL,Tumor,5.675378396956179,5.44353040018028,1.784385390704325
GSM1045237_T103_9_12_04.CEL,Tumor,5.651011487450155,5.36598027173993,1.8046120098590992
GSM1045238_T104_9_12_04.CEL,Tumor,5.605772139436599,5.29879945235797,1.8110214009146124
GSM1045239_T105B.CEL,Tumor,5.7092769563026655,5.45672239257055,1.8032343647921416
GSM1045240_T106_21_12_04.CEL,Tumor,5.525431028650441,5.31606946232624,1.6091618760151092
GSM1045241_T107_7_12_04.CEL,Tumor,5.561450660060578,5.3074521724229,1.6782565753707634
GSM1045242_T108_21_12_04.CEL,Tumor,5.561411054889008,5.30004775772659,1.6885266399553092
GSM1045243_T109_21_12_04.CEL,Tumor,5.424828300547399,5.22158508140031,1.4953275887045225
GSM1045244_T11_21_12_04.CEL,Tumor,5.491577578460186,5.2785274900658,1.6041577910960008
GSM1045245_T111_14_12_04.CEL,Tumor,5.57164324757093,5.30160743235975,1.77267583200574
GSM1045246_T112_3_12_04.CEL,Tumor,5.652576785907079,5.38041731173643,1.7824756000682422
GSM1045247_T113_22_12_04.CEL,Tumor,5.6440159930958345,5.38428182338182,1.8368722136486872
GSM1045248_T114_7_12_04.CEL,Tumor,5.767575899259018,5.46641526040819,1.9401312785428835
