probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr
gene_1300,7.259872554582046,4.498523054682638,2.761349499899408,18.19434312721361,2.866306268481064e-35,2.263522060219496e-31,1300,COL10A1,30.645215268526844
gene_6286,8.127834907195087,4.898156840030403,3.2296780671646843,13.119312112851922,1.099523406121247e-23,4.3414681690697433e-20,6286,S100P,19.36236337880531
gene_10388,4.576557195115422,2.8859987828184503,1.6905584122969715,12.400827394352627,1.2733691470941685e-22,2.513949038650662e-19,10388,SYCP2,18.599643530332294
gene_2261,4.980829180900305,3.7986635156023416,1.1821656652979637,12.183480491130938,5.665194043179164e-22,8.94760747179717e-19,2261,FGFR3,18.048293076494463
gene_1301,5.755352360300723,3.500686978487902,2.254665381812821,12.379646860485861,6.664506205094328e-19,7.518515071661415e-16,1301,COL11A1,15.12386792534768
gene_3226,6.493852722334572,4.628705499816887,1.8651472225176855,11.252570929340687,1.7807142888843157e-18,1.5624778599243822e-15,3226,HOXC10,14.806186127827594
gene_51547,7.210547608836925,6.1773420961738434,1.0332055126630815,12.91515294742545,3.105643509083684e-18,2.2295697082939862e-15,51547,SIRT7,14.65177894472987
gene_1475,8.196163989125747,10.349119744179303,-2.152955755053556,-10.584269909809608,4.539181270609487e-18,2.9871595411669267e-15,1475,CSTA,14.52474158154783
gene_5424,6.252008282428187,5.174711152269683,1.0772971301585033,13.144896560510485,5.067000948910388e-18,3.0780081918111797e-15,5424,POLD1,14.511730228671643
gene_25837,6.380045980940138,4.576512050134713,1.8035339308054246,12.12379406420893,5.70617318816977e-18,3.1855612752045128e-15,25837,RAB26,14.496814036719986
gene_9915,6.382481042085726,4.519074706954825,1.8634063351309011,10.923002431260219,6.050831851091261e-18,3.1855612752045128e-15,9915,ARNT2,14.496814036719986
gene_8535,5.928776662598628,4.7027227308204065,1.226053931778221,15.333751891456064,6.953071573807028e-18,3.4317753886471307e-15,8535,CBX4,14.46448114467628
gene_23623,7.262399544508351,6.0468457995889215,1.2155537449194291,11.256656058544383,1.6226407655210032e-17,6.499545801286785e-15,23623,RUSC1,14.1871169914936
gene_27338,5.775128763621063,4.571928780142188,1.203199983478875,10.092872850532162,2.4401333702336405e-17,8.37814488031959e-15,27338,UBE2S,14.076852133807778
gene_7138,6.852185461820308,4.852184193997654,2.000001267822654,9.949597859567378,4.1187457258512253e-17,1.3010293998818851e-14,7138,TNNT1,13.885712889401361
gene_84823,6.635633280652249,5.188527566735998,1.447105713916251,11.65968452159836,1.4150406949735202e-16,3.853302195933065e-14,84823,LMNB2,13.414166930026784
gene_64215,8.730236536419609,7.596399933714358,1.1338366027052507,10.438694398877836,1.7135515097052255e-16,4.510638757380722e-14,64215,DNAJC1,13.345761952764459
